,A,B,C,D,E,F,G,classLabel
p35,0.4608972486278352,1.2296758426774304,1.6545381376338586,-0.3852350517125456,0.6171544856961236,0.8149382381277307,0.2261900921199531,8
p36,-0.5786513396342502,-0.8309532886149051,0.7227061277393011,-1.145736643949374,-1.3512818260632498,0.2864072510895725,-1.0953353495447835,7
p37,0.9690136021096356,1.2384516239388548,1.6070402042317502,-0.11980380361468285,-0.7565236372667935,-1.4494430206832558,-0.27102643231382584,0
p38,0.3935993581066457,1.3726316363279238,1.6682690421745372,-0.6331929302853346,0.20002279290339384,0.8361329828951993,0.3281583138397078,8
p39,-0.6852245654718295,0.10057098586134748,0.18338615632312172,0.3257791160090298,0.2751764636736181,1.325408054398484,0.6710443531540498,1
p40,-0.7513441244104043,-0.7897582704884095,0.5927104726617775,-1.2102563211867623,-1.4362928507680033,0.692808985897201,-1.0623129989289617,7
p41,0.41221050099902173,1.268671205152727,1.559246660488945,-0.3258667361018506,0.583175172727269,0.96671194808889,-0.060436389658923284,8
p42,0.6165388843666323,1.4104029066733306,1.827350702160481,-0.5293911437976083,0.6616035967783696,1.0491839360605086,-0.008094643604233124,8
p43,-0.9333180839891412,-0.18328666289442191,-0.009470068488611249,0.15707978752123505,0.44555634871739697,1.3380808370744652,0.8342343682956279,1
p44,1.5485636624410934,-0.7447894035459873,-0.4877135213386156,-1.6995716562709031,-0.9529846998529812,-0.14151937553440386,1.4259509963424728,3
p45,0.14412129710042335,0.0034772760185815613,-0.4785716763259753,1.7575308398207103,-0.5151922281086441,-0.8010345236405234,-1.2004545594676106,2
p46,0.056033458220149865,-0.05824404619382612,-0.5322872998206729,1.9260037859340813,-0.30771559701363965,-0.9592687466637884,-1.4263466578917838,2
p47,-0.6788915796478621,-0.6895414369303048,0.5013414517626931,-1.0962008461657236,-1.2051560019113656,0.5530433305030047,-1.0481991594829825,7
p48,0.801269968044462,-1.1172629527491955,0.026378771480925187,0.922949421687836,2.270800088844542,0.5674015335555956,-1.3765865786725182,6
p49,0.6493477856976579,-1.2369487800459142,0.13681472927579855,1.0611014443541045,2.017538659117045,0.7600270107384614,-1.4704845854499335,6
p50,-1.1390868587418626,-0.1085289200846465,-0.6608737384378445,1.1649876624835829,0.6447137862984383,-1.3097041378355687,0.5077324532434799,5
p51,-0.7601248004502908,-0.6584655460366258,0.6059656638804968,-1.1615710420480598,-1.2068063715435653,0.5327904920444179,-1.2148072763017488,7
p52,-1.075530635986003,0.02992756774855767,0.023189479238693692,-0.05762786946957017,0.4327821328209334,1.3011294136577147,0.7589682679489196,1
p53,-0.6963567212894806,0.16593479284824886,0.2852934033463401,0.3588031301575341,0.4241233426027,1.1376270013294425,0.9659104176535755,1
p54,-0.8410490290916398,0.16791599947794622,0.3966825255722617,0.3421970182470413,0.12058874821124956,1.2009421417441333,0.6988475152086502,1
p55,0.435093014883872,1.2136434631417419,1.8319361999220785,-0.4172382472866923,0.4857944602269682,1.0609988506743626,-0.04197911304587572,8
p56,-0.7813089951968873,-0.7869070733603364,0.5911206638920256,-1.1227494306040522,-1.053788793904514,0.37009980696314027,-1.214118036609985,7
p57,1.1283557782695686,1.5410925989397417,1.4095375658642124,-0.19229188689996105,-0.9703363376738388,-1.4951495668669734,-0.08220683810303013,0
p58,-0.8737002547752375,-1.2497931724915914,-1.321541156017939,-0.24808647535667325,0.0685692857375917,-0.97158218868154,0.06278267651435711,9
p59,-0.044144419028931285,-0.19775234861615745,-0.4693708230614584,1.6067984042932526,-0.4117599772998327,-0.909819267281082,-1.422833097921758,2
p60,1.3298589979870927,1.5174635067871838,1.4005004705590351,0.26801211751391896,-1.0333393674805371,-1.247547652790319,-0.18735423038197335,0
p61,0.5661351231139133,1.4099062067363648,1.6571748543748546,-0.5568640093789288,0.3632118315445747,0.8510510870882277,0.2873091707235437,8
p62,-0.5894500237206176,-0.0016857804928979414,0.21510596183852745,0.20355403734835556,0.2873194516096791,1.3800404144089673,0.6962901706685796,1
p63,1.636105018554966,-0.9491631034044892,-0.4338426800720169,-1.5938289512910342,-0.915234847032428,-0.11865517309272727,1.3455226665022046,3
p64,-1.0801180941336246,1.4196372986867682,-1.16026843414277,-0.2964526027250615,-0.2850677168182108,1.3130983092277404,1.3661936044422798,4
p65,1.1299541063755134,1.4488159250195738,1.5458813790802213,0.1381314604869789,-0.9363623843284244,-1.4894573316612467,-0.2857210916352101,0
p66,-0.5891852996294323,-0.7096249096418557,0.7555447516776332,-1.0935701955192134,-1.4758568148212174,0.4066098664659782,-1.0736128029721317,7
p67,-0.5381097190462496,0.15161509771711462,0.1391866015929427,0.208922161878312,0.32965770537155137,1.211541848267122,0.7419054805961418,1
p68,-0.4868013095310453,-1.3085987817794824,-1.2831796244895162,-0.25221290144218755,-0.01711589426687119,-0.5625818905439108,0.21443452597656096,9
p69,-1.057871928634548,0.18887993253811647,0.05131664950260388,0.2422539628306691,0.5743176148566875,1.5048551702785524,0.6598164293134191,1
p70,2.047716829171124,-1.0391503682601333,-0.2913350935503697,-1.736208775219616,-0.8473659898814043,0.060853390717829726,1.301366967774936,3
p71,1.7970986754845932,-0.7450080525182414,-0.5168337894135041,-1.4402888367848017,-0.8768892826469934,0.16198735705335435,1.409862722165521,3
p72,-0.5566397816638845,0.17116715841461633,0.24362895377048466,0.08301399589766216,0.4158237313427017,1.2082839829074659,0.8756385461296339,1
p73,-1.3577851086249972,0.11045849099674028,-0.6702662533404364,1.0540885636061397,0.7630914698456881,-1.305642036720552,0.5648396216470183,5
p74,-0.7079964738330301,-1.1360855088007396,-1.3303789427199793,-0.21157097549299908,0.06512776044944121,-0.9063760143521904,0.11968322760590737,9
p75,1.5146870700991877,-0.9076552477322444,-0.3343876819341053,-1.7638536086938217,-0.9145591937442592,-0.18588569421958126,1.2864811396085964,3
p76,0.5347817804357747,1.2387499776765312,1.6407332761320526,-0.3627986212539429,0.5080772954799941,0.8913236131107306,0.034249810215972856,8
p77,0.9048458749502529,1.344871005303064,1.5086170809779849,0.030580406661621207,-0.9194269819044268,-1.2993223758613646,-0.06871519224285977,0
p78,-0.7529565349714732,0.18532956494699387,0.11127461408715496,0.22342973951542253,0.11440016247545252,1.1434605472579056,0.7345691276631215,1
p79,-0.21716290268974767,-1.2542861891984909,-1.2730684526475784,-0.2177827380696752,0.39636309019348426,-0.7443631923354804,0.08182802158595358,9
p80,1.82832036114208,-0.7418811289737517,-0.1845835284799068,-1.6600655004932388,-0.8766647915126509,0.12374343868603352,1.2911220304925102,3
p81,0.981148003619701,-1.207082231353504,-0.029353894004275412,1.3143951906305735,2.1511288263269037,0.4497855737427741,-1.2415595101354902,6
p82,0.8130232689329498,-1.2586243864695008,0.13613927198080167,1.0971578178147878,2.0559547819063093,0.7205247209067056,-1.3734261357120592,6
p83,-0.8448721666993027,-0.8080563016322541,0.6503937929409419,-0.9921373227471566,-1.439279382441307,0.36122474946641,-1.2431391034150272,7
p84,-0.6706064693116017,-0.6880189488719487,0.4886562229221475,-1.2826327487791809,-1.0776550110654075,0.23075926751795744,-1.3142867573675576,7
p85,0.2058584515854381,-0.4101435323049649,-0.4431824352941729,1.9752062736021267,-0.2089779336260976,-0.6345766860711811,-1.4654946555765755,2
p86,-0.18051836425373385,-1.1641706097209297,-1.2408344952310928,-0.02197688820044953,-0.11135950516044557,-0.7397792007603822,0.09444712583587192,9
p87,-1.2300467851516703,0.02060319736750753,-0.4058605828074156,0.9097567688174112,0.8330250470738062,-1.2598634733199576,0.27988240693822114,5
p88,0.5372990706784332,1.223968397379709,1.8922795116787543,-0.5377035688426571,0.4630795567605261,1.2022650133922703,-0.08432678081135615,8
p89,-1.027115498112547,1.4278124375080876,-1.4510655756098518,-0.6292200895867989,-0.1863663606464914,1.1464709613866393,1.5345499272294088,4
p90,-0.5529524467215031,-1.2442346218669436,-1.2888959610109978,-0.1294434328577455,-0.08796585602248118,-0.7008516509959452,0.08141303691780218,9
p91,1.9926561960307712,-0.8245119239599044,-0.4198833441859217,-1.6140771483089305,-1.0098823866659157,-0.3499134293480469,1.4711396323364172,3
p92,-0.8727641252770503,0.16432045611618004,0.11686694401126235,0.41297398433284266,0.5535680137157565,1.0474619971494736,0.8183433951805568,1
p93,1.2846531918113508,1.2914623274224302,1.3784351391650378,0.17708076086643856,-0.5358992031347963,-1.4328857621701525,-0.08671057926356256,0
p94,0.9078432814628684,-1.1958072105068769,0.1528249945281543,1.0077355663978027,1.9674656479576385,0.6445764460920558,-1.2981875313609137,6
p95,0.7805705242269966,-1.0799598393245082,-0.0036868386189842116,1.0295177002532792,2.43603745908315,0.6589898644266046,-1.3703220508541465,6
p96,-0.5494632267476746,-0.7748132966346712,0.6901932654930973,-0.9915868454719978,-1.1483216300679853,0.5620300060680287,-1.2908726580457397,7
p97,-1.1745580101034931,1.5940238944331868,-1.3367083935601245,-0.6442994787612469,-0.5195096289518722,1.1716994398246532,1.5320499593655812,4
p98,1.2220456759549987,1.3710726570130596,1.535186392748965,-0.11552552062881816,-0.7029342836536705,-1.5530414831635744,-0.0877594689766669,0
p99,-0.8836985441597579,0.1950351006577997,-0.021780954437378718,-0.2018626854034461,0.4858425465006744,1.076579224001278,0.7982239244115402,1
p100,1.0847181697165915,1.2460411330306431,1.4835836104855242,0.0509456858578417,-0.8438990816470993,-1.579203366872708,0.11629946190082048,0
p101,0.42421802167222256,1.2499919194852442,1.7473523147178065,-0.22220535831228608,0.4670111222982295,0.7603817227190252,0.04342700662051949,8
p102,-0.4866675619630421,-1.4055093708486688,-1.4749949956308543,-0.4542435169302289,0.09940119372627522,-0.8705608862361961,0.22335794989155566,9
p103,1.7216904248082343,-0.9195000072217177,-0.3366593529882782,-1.6824700805054051,-0.9408019849416048,-0.12982426753286566,1.251793673248693,3
p104,-0.7507028189272478,0.14355613457665542,0.2601785881168394,0.1661709779830901,0.7179377912846899,1.25651663089866,0.8137047151133558,1
p105,1.8228109626571305,-1.1396769834297014,-0.32415294831536595,-1.7016874338049457,-0.9258126829146418,-0.09423699638032304,1.6067132542344182,3
p106,0.4535013048177756,1.1982080957376695,1.865228147423794,-0.7703083008987702,0.5282681731870368,1.1752898436286363,0.11888519617923406,8
p107,-0.5309434525419391,-0.6897452038770902,0.6746297864137961,-1.054217326093228,-1.5577852594098347,0.6210666762372022,-1.1938762751576233,7
p108,1.3212939388355311,1.4005552239419006,1.4097857987047515,0.23135047229409805,-0.7669147038419382,-1.58241356801333,-0.323753331198487,0
p109,-0.6396912373219571,-1.133146324340592,-1.3996926107352472,-0.3183876012499792,-0.17712226980073453,-1.0210465402918842,-0.03488680846967713,9
p110,1.0987188487108417,1.3214694232110364,1.3245761727054912,-0.233862141674974,-0.7540118624828698,-1.2928176595273395,-0.13489988940354766,0
p111,0.7269419546214981,1.3891530554643443,1.8544603483269115,-0.4935408590026125,0.4276615410937905,0.8749555951783969,-0.03868615645473646,8
p112,1.8494988806574613,-0.972973136494138,-0.4899427152046413,-1.7379880309530242,-0.8733224402148254,-0.20987746364464493,1.4371376044224118,3
p113,-1.1140614595495528,-0.09746412621526948,-0.7232010622023364,1.0919568745512762,0.7221887466872775,-1.2111535223238126,0.3593832587569056,5
p114,-1.1932753187848613,-0.09753518835939944,-0.6390404895705075,0.9250946769491772,0.8543306612602125,-1.2050707976868305,0.5513572686332626,5
p115,0.5644895941782897,1.2196491477641522,1.8037080170563744,-0.6701912988989337,0.6175858975790444,0.9070641123526052,0.12114962195778133,8
p116,0.4845044290916241,1.3694127134363434,1.7230531125428883,-0.6722396177443553,0.8377847308613029,1.1012562936228512,0.005350039497285536,8
p117,-1.1321534954936447,1.5069289609444698,-1.3674561739464954,-0.6771347606176502,-0.5147084187703024,1.1663652292685929,1.382595778233246,4
p118,-1.221509332574076,-0.21159905914514335,-0.4145942948300694,1.1584108465835472,0.8497237182247084,-1.0555678397375492,0.5233372952539191,5
p119,1.1225862250850158,-1.04105078490942,0.06460146017328611,1.0872328371439506,2.383615164327026,0.5591935117324707,-1.4277824351491974,6
p120,-1.0251829366319951,-0.6910233324375742,0.7055763507284829,-1.2326250304258162,-1.1603641743917534,0.5361309907725965,-1.178409135101531,7
p121,-0.6577235039343016,-0.7871135034636345,0.5944298981086479,-0.911113742593034,-1.4449361620722356,0.4251049606851149,-1.469005287465245,7
p122,-1.3140352620314648,0.0687908842180966,-0.5312589758051406,0.8926769043862335,0.6892434769485515,-1.2986806513906308,0.42194781960672895,5
p123,1.5621636462327442,-0.9417409370057072,-0.12451723716073332,-1.433314868259299,-0.7239440384057039,-0.2801519778075754,1.3973695414626233,3
p124,0.9970551672499736,1.079948238373478,1.6220119503917043,-0.551420642839523,0.44106392507018394,0.9473172856787394,0.045450813096194594,8
p125,-0.4509194940955431,-0.7611744385152571,0.7200314332348794,-1.3523272157555946,-1.2751160328242392,0.30039892925372746,-1.0920554998044556,7
p126,-0.9178006860306256,-0.6913118576053303,0.6653351526992319,-0.9431447403008844,-1.2799373728810333,0.4567343062480705,-1.056697119770738,7
p127,0.7986468468468997,1.3109972678067447,1.6238799442617082,-0.3851279153215752,0.5718457227895853,1.062328151927803,0.06312169216636432,8
p128,0.7960643883203182,-1.045397145127468,0.12960312456880735,0.9994136602877286,2.0937078686349024,0.6376132917476782,-1.2563107861210707,6
p129,0.6564837865936899,-1.2297298184539167,-0.0026811957763454523,1.3216323715423683,2.2422993163310445,0.7519234387221229,-1.5618605111099952,6
p130,0.5466272357223347,1.1495985386053214,1.6473087276523877,-0.6952112117552615,0.6010368382040118,1.0752925372786943,-0.06990949553543384,8
p131,0.907027281724282,-1.1438586942173192,0.2387664271532915,0.8584856314349483,2.556654398161585,0.5894547787496275,-1.552781604188503,6
p132,1.503073212247945,1.4272276040053633,1.5888567487945278,0.0404430377933306,-0.8676942494972819,-1.5419688156696838,-0.3691996930897524,0
p133,1.8096417360427488,-1.0060909935529379,-0.3267881677460523,-1.6317145494744798,-1.0143629585053924,-0.09039531503930018,1.182095850500647,3
p134,0.1286269346679875,-0.12982344784370822,-0.5705312223513597,1.6414795400160498,-0.688382527390077,-0.7519575937504669,-1.1762090228320363,2
p135,-1.077642910249364,1.4889223312009752,-1.3827077549800628,-0.5999162771046345,-0.3138468236237124,1.2530503784470417,1.6542991126781226,4
p136,2.0046136875249663,-1.0707966978945895,-0.4197652061353784,-1.3915902075376592,-0.7065710787287602,0.23924510642250585,1.4720061842663368,3
p137,0.8843628502242478,-1.1988536548943924,0.10304146665192217,1.0197572065269245,2.071821917882714,0.4413900818236781,-1.5095592023967532,6
p138,0.7743927070926465,1.0295915055704237,1.850343387054873,-0.8041543557494719,0.6660526662110864,1.1335993990910913,0.04592957536503363,8
p139,1.0114111719894383,-0.9769459208927166,-0.015926012470470662,1.0139712609450864,2.192043402852434,0.3570695918748483,-1.1593193518138891,6
p140,-1.1653271499165965,-0.2216521338271976,-0.659829484035619,0.9059905926914824,0.6592377795025611,-1.359467049527731,0.5317202067909255,5
p141,-0.7354692663109131,-1.2491089575588463,-1.1439283290607485,-0.2265945377432634,0.0682693040243209,-0.8043743233252609,0.2160781541743107,9
p142,0.3118485724076817,1.214912552069876,1.6422355032038265,-0.7060147719921231,0.8253211329245547,1.052190736388904,0.21110014942704186,8
p143,1.7958762463727331,-0.8334380688479816,-0.4623172861477024,-1.4144678443849432,-1.0001589890722316,-0.18282962916387765,1.305923959175757,3
p144,0.9982467000046772,-1.2468828844186377,-0.07918544134622367,1.1103008067514075,2.4703481683450668,0.6471964330156079,-1.4782288414610152,6
p145,0.9613255491875587,-0.9940786569656198,0.0874635348413615,1.1079480786838458,2.4382493908842298,0.4065841134951089,-1.37413496920418,6
p146,-0.7092449345832272,0.06888233600416241,0.06181568889370857,0.1507603450406033,0.556617523398725,1.1443131339047377,0.7605925019618921,1
p147,0.05561086832712075,-0.002596370884432092,-0.4761479766338097,1.7417472615350311,-0.4671155970889821,-0.8361874132110464,-1.2341044566037422,2
p148,0.8539358988839048,-1.0299060342319986,-0.015864004227409922,1.0178053107886105,2.000319100210488,0.4119587256758818,-1.5752968638571745,6
p149,0.5436911354041205,1.2832641635322597,1.634462760392816,-0.5840534370529271,0.7769909161016866,0.9484007296345008,0.06920665765252641,8
p150,0.9209828597113258,-1.0601349555776982,0.012654232583305105,1.0477992470990365,2.3023050693084626,0.5663401763468445,-1.5548560237918232,6
p151,-1.3617295758162955,1.438452964616342,-1.5122581446630523,-0.4293603841992798,-0.2989265818264881,1.4080847696982453,1.314748435670308,4
p152,0.10172441816559877,-0.2898860316556368,-0.448847475221874,1.7880991049496782,-0.3229378600929881,-0.7978491340450449,-1.2806812905055125,2
p153,1.4691424444227592,-0.8780994815362597,-0.3477295977821921,-1.7914665824516114,-1.2127746867620068,-0.0017760584895244469,1.1552802563699591,3
p154,-0.14477013784963833,0.10732074263650793,-0.4720077280837458,1.7772384063817317,-0.4716680805787799,-0.5892394730921485,-1.3574798204690632,2
p155,-1.2276465038446769,1.3546166739509948,-1.5878681332483866,-0.5380801962847351,-0.31648866093380434,1.3008191364163588,1.5332127065861856,4
p156,-0.4871104828498785,-1.2280856428562519,-1.1961767589059382,-0.3842809163137294,-0.28838330585753474,-0.7180094028780895,0.02245309413730941,9
p157,1.2242691107170711,1.614039992612366,1.4689701557870587,0.05618088027942336,-0.7979813305857375,-1.4724958730160222,-0.16777888875717228,0
p158,-0.4942669791259899,-1.1384783303696142,-1.3529963784590615,-0.26588544966007865,-0.029013906397364963,-0.9903657697853184,0.150602087131207,9
p159,0.06777010646882717,-0.17108197814312506,-0.5519158772896533,1.6086699552307866,-0.5557546980119461,-0.6737401674799777,-1.2714662328022233,2
p160,0.8160850666951216,-1.0706528817058072,0.14249551360897636,0.7523108476694393,2.3936897947807645,0.4720776906210292,-1.2844877463380129,6
p161,-1.4006738528158085,-0.2435491985543613,-0.6805927121987669,1.27291294602665,0.6266406738168969,-1.3885059347261477,0.3585251927618404,5
p162,1.0635843691804732,-1.0345021903242198,0.08493205219115092,1.2852514057198576,2.2783579995136214,0.660902126317466,-1.3628656973607505,6
p163,-1.1851500000739976,-0.09500221861413274,-0.5634012422873089,1.2387623281208606,0.8710564548554032,-1.4447062301109943,0.43027220331707594,5
p164,1.420581553769847,1.2446176210265791,1.4936048695280482,0.2554488217292872,-1.044295409758557,-1.2606943667939503,-0.30135398463477125,0
p165,1.234766021475871,1.3762161345906447,1.5329012659546513,0.12984219509013856,-0.8184967550304403,-1.6687630350209084,-0.15960175037722393,0
p166,-0.4575041029963011,-0.8205263239128212,0.6788210797141953,-1.0314952537620408,-1.2414726136156646,0.515072041658542,-1.3441151419935098,7
p167,0.5286626810842143,-1.201262423559184,-0.0706525746349566,0.9523492822645157,2.3625734537395706,0.37709743827105263,-1.3679653049249492,6
p168,-1.2089940621823776,-0.0770971665358159,-0.5234658425955361,1.2693842599229699,0.9489605345170784,-1.378058895464843,0.4874406683022942,5
p169,-1.07395694274573,1.6051854786506308,-1.5198799919488086,-0.7563023478903965,-0.14837807682546592,1.2930526267153144,1.5532308549787786,4
p170,0.07399587484869127,0.035341009495269936,-0.4949640055964306,1.9254245111105288,-0.4242824992100118,-0.6833214175272649,-1.5097392784739376,2
p171,0.7240199550014013,-0.9704647226243066,0.016342022601385578,1.093069134188954,2.147614523129925,0.5927875973606358,-1.3548857601285034,6
p172,0.6626784703789856,1.3256306961421291,1.632433411377109,-0.6310347834683994,0.5842953044925386,0.6955600339312649,-0.010155114332754057,8
p173,0.4810528034853636,1.169493787229064,1.6524547424633025,-0.30858440719334185,0.8137308305202426,0.9593558368598344,0.1113675815974468,8
p174,-0.850134105694354,-1.3744848200829678,-1.3038548916277886,-0.15824516411371795,-0.04249568318263892,-1.0155793525153458,0.1431335002273833,9
p175,-0.704198855510678,-0.6653268192006249,0.6894940419112645,-1.1837142143205084,-1.3057490379276928,0.5568982020509403,-1.1013150777830985,7
p176,1.6983250265221073,-0.8406532780085852,-0.3613505559713341,-1.5851795504956545,-0.8524578673876835,-0.03597182641136406,1.3223639324252014,3
p177,-1.1905232638685144,-0.3198099298645068,-0.6397811267084298,1.2063882579628848,0.7266865981524753,-1.0945719073631086,0.5274870352038896,5
p178,-1.0423517916172378,-0.07558688680647818,-0.5847699256566602,1.0146531923973967,0.8198480243810877,-1.3889593790160495,0.3554590132449745,5
p179,-1.1069787330407217,0.10635112158209972,0.4225296534150748,0.3900263227026331,0.37994361162663387,1.2049361265304592,0.8404423691271965,1
p180,0.751236137379072,1.2520065085302374,1.7666549753513552,-0.5750270264267235,0.6988355255402051,0.3765977647567429,0.14458596271423949,8
p181,-1.2893001885678999,-0.06683750765115386,-0.37534011398319417,0.9763012228564678,0.8677340648227927,-1.2884862385072475,0.2801120771105776,5
p182,-1.2272490323741194,0.2993566201731375,0.0724310677005118,0.05891272125836396,0.3896845291684125,1.1919010400660883,0.6536033323194248,1
p183,1.1844462127675557,1.2890485476357,1.4292953434910143,0.09034575619635893,-1.266843572821808,-1.4995159842491133,-0.16490647171389256,0
p184,-1.3228144609962165,-0.016101327696726408,-0.6713964304340495,1.051634392184443,0.848625242587654,-1.2847454709628277,0.3265333366778493,5
p185,-0.5471671887689006,-1.1551404142000798,-1.1885826052835191,-0.29769242638511123,0.03885789038045394,-0.8390228644161809,0.17050420970086266,9
p186,-0.6440795489425492,-0.7175715984819971,0.7320975135497259,-1.0162116025815544,-0.9190257515132562,0.4367342120452007,-1.311541237285742,7
p187,-1.0058510222896653,-0.10984163588430344,-0.6689440984400556,1.1502387100786498,0.7687402400741219,-1.2914433601774689,0.2395912322341494,5
p188,-0.9193950375908996,0.23954780477906026,0.2504866442661313,0.12319791505734867,0.8021276478595485,1.2558489183675845,0.7865861299542699,1
p189,2.1662441670554338,-0.9267790960176966,-0.4627578419475925,-1.8052611386614483,-1.066725156672384,-0.1592177976385985,1.2517933994971642,3
p190,-0.5705246687656269,-1.2125571090760374,-1.366701654246786,-0.2379877642008535,0.0666653550075093,-0.8069513055621022,0.16505347989755118,9
p191,1.4448579798401064,-0.8924816941267674,-0.36145201763195417,-1.7570213116354263,-0.8680717152260149,-0.027750910804965955,1.2512220395510665,3
p192,1.2339854461905997,1.2667151419770926,1.4853605080238446,0.2628753026786204,-0.9009103488316416,-1.6394098294804316,-0.21781855506889114,0
p193,-0.4755916401824774,-1.1560461002159657,-1.2015930773588437,-0.33688181801050626,-0.3400315714865125,-1.028502762138921,0.08789101600660418,9
p194,0.6117567935380224,1.3212967174143233,1.9573164827763865,-0.6202191446517807,0.5341279039476405,0.8940079218183811,0.06586429183140101,8
p195,1.2672863392374107,1.330896560013018,1.4115279738960922,0.18177232574283347,-0.8406356768225766,-1.6417634147308235,-0.16472699596402665,0
p196,-0.9262248227474104,0.19170313996905208,-0.0494974796484654,0.2493212461540265,0.5944546475559904,1.3928998966454746,0.804459815091351,1
