occupation,monthly_income,loan_amount,credit_score,years_at_job,classLabel,id
1,3248.534675189296,13618.452580077204,784.1347952951849,16,1,p85
1,3117.695958766383,16307.612434327038,605.8036454305158,22,0,p405
1,5965.828550593406,4810.257393690589,792.5177914962704,29,1,p879
3,4182.6706770227365,9057.02758607962,609.057913413521,11,0,p657
4,7201.048994848126,15551.356485816415,747.004968065707,18,1,p708
4,5560.412367352166,11289.136734648324,879.3541028554044,17,1,p305
1,4949.096494032189,10543.18270619424,540.2693249906157,16,0,p413
1,5187.615408112731,8155.783714456152,720.0415420569823,22,1,p949
1,6156.6270978105385,1517.9503240840604,757.9648169231248,27,1,p143
3,3125.346367832253,10164.464281290971,617.4877038685822,10,0,p693
0,3221.673181137025,5873.458857393885,828.5319313583966,15,1,p986
1,4359.967945000977,14168.37582324642,729.9901446874203,14,1,p730
2,2293.92453128254,8641.728573194061,700.5487047827813,22,0,p852
3,3856.3065208282906,11399.46827840816,966.759505383918,6,1,p137
4,2975.0029234276376,11668.365620143944,710.9980948689125,18,0,p432
2,3596.5886058086626,1978.4618630833247,675.791567028809,11,1,p168
3,5858.021348727627,14590.7775432502,765.777094938567,18,1,p235
3,5136.450549346357,16596.715845746006,833.3000261566599,14,1,p496
1,6087.969848126792,16361.232559809514,583.8364932978892,23,0,p30
4,6093.182275390562,6401.5303747584885,603.0236702412581,2,0,p749
4,6348.381108246986,9092.918645609094,610.1945842594545,1,0,p885
4,6755.160778119004,8876.366157776958,641.6452457560367,19,0,p707
1,6571.291280510064,12782.816868338354,718.313386671883,23,1,p428
4,5260.234944557064,7812.793838312804,785.9679630875037,4,1,p912
3,3082.201390630731,8101.81026949507,676.0864510524023,5,1,p812
4,6188.458424271554,11698.735151570763,732.555403516417,4,1,p44
0,6802.773472168749,10472.512308722437,765.2377121532973,11,1,p105
4,3660.735641185024,6865.325047616565,652.8063252901235,25,1,p256
0,5038.391547435671,1315.8166508543818,878.4415126648754,19,1,p36
0,3639.672142366708,1919.3828546910156,601.4887165458766,7,0,p325
4,2464.4602852978906,16534.79354131838,641.7780757716648,29,0,p552
3,5046.716234557711,-336.8594571541289,617.308190708331,21,0,p857
4,2934.5601620957063,16747.48974886257,632.6729091678524,4,0,p645
2,5327.3498548675725,14222.23438738663,704.0711260240543,9,1,p32
2,6373.854787388715,14333.103367871176,582.7107541438284,8,0,p837
2,9359.336304657789,15901.042145553636,913.608551918996,11,1,p307
0,1602.4895883129134,13684.264062372107,926.750067159454,23,0,p958
1,5880.853295055982,9676.664237903966,552.4343163783758,27,0,p926
0,6774.526757891205,13030.831146217724,708.715338508913,27,1,p558
4,6221.679923921515,14985.951900233733,545.9187689412761,15,0,p546
1,8915.4115615919,8402.43667845165,735.156226652476,19,1,p114
4,5725.379616902898,8485.62576195837,757.0376397843571,14,1,p142
3,6575.006000893811,5345.318452955198,643.5497506109842,11,0,p387
0,4726.493060321619,10124.297008326032,669.3946978280544,3,1,p327
4,3706.666818386408,16701.899033124242,743.9025775627015,3,1,p261
3,5675.814489932678,5174.06468996932,679.9447886429962,12,1,p393
4,3686.5280055917774,14649.321032329144,760.8850951219623,16,1,p74
4,3763.507764051169,14649.192093258793,727.0423225325347,17,1,p89
0,8232.162707152696,16632.205746327298,743.9995647574341,2,0,p65
0,7215.077788205501,-217.7833926625208,700.5350907859773,14,1,p452
3,4867.848663486378,14441.394066088971,893.1164604551541,26,1,p2
2,4337.655729541664,7612.906399170171,646.4610934183825,24,0,p77
2,2377.0857845268097,3886.031611015264,632.1982217760287,14,0,p499
3,5676.058006342315,16933.675771064864,499.2778538172622,23,0,p703
1,5411.249850980239,13347.73597120616,714.6507319780322,12,1,p128
3,5931.060972289548,9215.365394129376,801.7325525930156,22,1,p555
1,6189.19480136416,9999.731772672516,587.9855973697561,1,0,p148
4,6183.503884763682,15019.957960752254,802.1177537926799,2,0,p603
3,6627.486818355846,9040.18854186806,812.9642823342771,19,1,p263
2,3335.5140267049646,12715.047013637726,728.1456040270507,8,1,p932
3,6521.37612122888,11065.042768340823,730.7071158541611,9,1,p735
0,7208.869806268457,-3723.195547559195,693.5855301090129,1,0,p190
1,6019.420408264918,14618.898060001258,578.146376656336,7,0,p659
0,3363.115996280788,8177.015673176484,705.7572908637202,27,1,p101
0,2683.6368209951183,16968.9073227264,716.7933735471523,16,0,p915
4,6862.770431776856,9680.53457294613,753.913073543659,7,1,p807
2,9867.978966785577,-3673.825119260237,684.3009742676923,25,1,p288
4,8581.406094159773,15316.717720407856,787.0226119513745,6,1,p939
2,4328.433563545266,4696.983552470604,608.563741042011,11,0,p571
2,6287.9510857186215,6407.207834732302,897.7016712827269,10,1,p86
2,5264.729543832509,6269.378712488802,592.7607032340268,24,0,p656
0,5087.450173140514,15770.91875114556,710.5873914376269,9,1,p335
2,8382.96930481409,11912.6118425305,772.6064748717087,18,1,p254
1,7823.440222196823,11299.42371509418,771.9141893123132,11,1,p936
2,4706.872819843493,8902.738633117782,760.139133622104,19,1,p652
0,7497.925422010066,12076.038937488687,743.4673461935159,26,1,p680
1,3611.354914764999,12113.864608016836,691.7218250431349,8,1,p890
1,4594.69110371923,11760.300554244071,440.56796358544966,27,0,p539
2,5933.309643074665,9831.424227127169,592.3280446383956,10,0,p121
1,6831.8522160537,8781.549706074127,631.7045799030121,2,0,p344
0,4977.348466708272,16822.831436239183,667.3383926238456,11,1,p162
0,4909.665373926279,6375.029016094704,731.4609508646625,2,0,p239
1,6727.74472855034,-4659.252019288673,726.9390568418593,22,1,p169
2,4698.912021870536,11338.955079738282,790.1588731759363,21,1,p10
0,5818.138579427411,8520.267097068752,792.3563200037191,18,1,p436
1,4292.221834240448,9165.255862878214,458.3338838185053,27,0,p110
4,3960.7608291936704,12832.596764999094,600.9664313243707,26,0,p34
4,5257.45888894549,-1139.1976865882807,740.6281696065731,20,1,p352
1,3706.4230327188834,13305.10899923919,543.1469328938106,21,0,p475
0,3220.532942449212,16741.83677349709,613.7575092563968,13,0,p356
2,7374.009297459461,16864.37857107434,645.9491896598366,28,0,p145
0,8898.690803219877,5860.381103742658,892.7088926217928,8,1,p123
4,7389.071789739333,2399.2731007088623,577.4780856756479,13,0,p49
2,4088.4370593497374,8697.697830210629,701.5085504913867,14,1,p839
2,5420.98034201616,8313.13921170731,564.0804172847149,26,0,p473
0,6135.005470082991,6286.649282839901,685.7363363605148,24,1,p809
1,6453.519561501037,9321.167308889482,670.2425275787674,27,1,p795
1,5929.997781592256,16678.616520048432,755.4407331989519,19,1,p111
3,5724.048200764854,13118.120717135254,730.4477652650211,8,1,p100
3,4033.783114621864,4272.399490142868,780.184862082885,29,1,p8
3,5807.190118863462,11514.82089187997,762.1814708359751,17,1,p995
0,2413.4581625824167,2799.176742089977,729.4452292339706,2,0,p818
2,6398.96227626879,12311.281919323124,638.1699106593479,3,0,p329
4,6012.765372481284,4486.199770224921,844.2539719703879,20,1,p633
2,5128.451829741694,10459.7136944109,570.5502921091411,4,0,p219
1,5930.290968348591,4334.242707247115,631.1787744004324,17,0,p875
0,2398.940962442437,3071.4647853404776,494.62765538230326,19,0,p481
0,8807.608065992821,12503.927049697348,1009.5441876163668,3,1,p78
4,2063.3101953316013,11844.743637108082,528.6165428169384,11,0,p792
3,2775.4960504616497,5335.968876527547,793.0022247707639,24,0,p526
0,7604.595189584536,15475.476749563612,856.3785227216417,9,1,p537
2,3841.084558168316,8244.569115459964,717.1606333047254,16,1,p380
1,4438.161868405377,15524.151463999173,563.7904679241296,26,0,p61
3,3299.576966619327,5608.306795700297,629.5499243692734,17,0,p582
3,6492.588906459338,6132.770890791813,709.3679465645628,5,1,p295
0,3725.029263761807,13310.934153894608,572.417263454244,11,0,p946
1,6428.2345402602405,10532.928824325903,558.932368927591,19,0,p75
1,6502.665978628487,10426.93880935316,666.5362333617272,18,1,p268
1,4238.460730028217,6650.961593016011,608.1287112572261,11,0,p529
3,7398.261485956568,7749.033914490169,517.6369583861344,27,0,p280
1,3537.046360102414,9231.984428149544,767.127572774421,2,0,p948
0,5667.86116086696,7733.337583715083,705.729509374922,10,1,p46
0,2545.6734091839194,18338.145854058777,853.005948906729,7,0,p711
4,3773.490016787021,17485.576316789116,560.1397923176783,14,0,p448
1,5447.094111539953,14931.451983703806,674.8003069146486,3,1,p983
3,5453.311449307203,15603.6341729056,435.5022416236501,2,0,p24
3,4824.935917180233,14944.02181603752,739.7451308192615,15,1,p684
1,6406.459645494211,4519.609143042971,686.8029599930368,18,1,p442
0,5861.43739473237,10317.58287214103,645.9149611789754,15,0,p801
0,5687.824303208404,20769.334359110137,622.0492963474444,28,0,p564
1,8262.99026532176,14261.141730725503,808.8131759386248,18,1,p270
3,1939.1760635289172,8322.927531746325,646.2922158118226,21,0,p107
3,2120.428635720424,9089.059544999518,813.7831099826001,10,0,p604
3,2323.6561461332685,6135.126490830927,659.1078989704752,9,0,p511
3,4378.721310216002,15706.180071366569,679.544438714032,1,0,p861
3,7463.652387604002,12869.085475328568,723.6341367323394,21,1,p331
1,4744.683349675436,14040.404335679455,690.5802255025102,1,0,p778
3,4634.948587862817,-1868.2938176839707,620.4626570454416,6,0,p294
1,3353.655272591531,15071.8160299638,776.8302841822425,11,1,p402
2,5718.421177036237,395.6312116807185,579.6623552227775,26,0,p435
4,5163.134796320644,7982.403638164725,808.1371304352181,1,0,p632
1,3021.1275988236403,18880.18855414293,648.3588146014057,5,0,p7
2,6616.151059428888,878.199022313378,697.6516552650638,3,1,p701
3,6722.999450856345,11235.803916719717,724.7565196735641,1,0,p978
0,5688.090650340536,4299.271069411673,780.0066286333787,5,1,p536
0,6394.7382123786265,13812.743082417466,844.1014629465644,19,1,p464
1,5720.509366990229,10393.220050015594,705.6096945673851,17,1,p828
0,4448.970343376045,17686.44098023699,653.4395801941819,4,1,p281
1,5139.473682173822,10826.632407143814,810.3701653077036,19,1,p624
0,5011.457089788476,9045.865495756663,669.1368592234367,27,1,p29
1,5438.81322731158,1937.5260147396373,584.556261798752,11,0,p370
3,4331.810832384621,6683.35819470922,776.4886795153884,21,1,p474
1,5775.731762185222,9386.838213095714,560.8354346424551,18,0,p927
3,3177.009918297039,7414.911987460622,680.1961475082273,19,1,p391
3,5327.531887547989,18209.41095365904,539.2814651488344,5,0,p871
1,5852.434078317237,10339.489640559072,829.1880623081538,2,0,p293
1,4790.703314142045,7562.260344394352,791.907169996229,22,1,p990
2,5636.376196101819,16059.345690033308,547.1068543252051,13,0,p979
2,5798.241016991273,14673.929737281282,753.798362786334,23,1,p944
2,3689.133532982267,7291.691557094981,611.4590251929276,29,0,p940
0,5331.14673545982,4236.632749029084,701.5175965710919,4,1,p333
1,7875.039508187321,3730.0953795910254,705.789585691756,21,1,p70
2,3141.777384340249,10772.119853230766,802.675235406102,26,1,p60
2,6987.639623783724,10403.776928442729,790.2342698968672,5,1,p180
0,4178.614311250472,19625.154145067325,679.6142202705049,10,1,p535
4,8558.666560012512,20052.986406346023,789.5368030985954,22,0,p99
0,2693.6089724325284,11038.61259685266,520.7691733141619,16,0,p954
3,6152.132560341911,7460.972379043356,855.5694519711818,24,1,p38
4,3552.202532897184,15948.55916913911,607.286246553382,9,0,p82
1,7792.390137538921,22135.99742872408,677.2714833856799,28,0,p165
3,4193.554077076081,6525.77999327926,686.0710261541941,12,1,p283
2,4482.467317658548,7221.765905499064,661.7593872159163,12,1,p179
1,4237.266146098747,6320.405550512611,624.3276279820965,10,0,p275
0,5131.172722855074,5881.916871837362,695.7509667569191,3,1,p689
1,6453.396703069728,8506.863317537012,668.3659410776689,11,1,p214
1,4270.550833726905,19960.05671725109,706.7304050510128,22,1,p397
0,7090.844962055461,15048.841968050194,670.8000991943288,11,1,p213
1,4947.578380729038,13487.62592777955,703.342063133936,26,1,p761
2,3865.498015714377,15159.873057916777,749.0768319981444,2,0,p974
0,5550.2975665284985,10519.945774491252,519.1377431412002,26,0,p500
4,6029.938207648689,8513.296163367033,693.1707536967773,25,1,p697
2,1734.7299570367436,10113.519553921711,492.3354608427835,17,0,p953
4,4332.6502418937625,10176.420872313336,497.0081894105784,24,0,p515
3,6419.411800708104,9649.540631177935,670.4075245642365,12,1,p646
0,5796.244739316873,11817.514313284211,758.9914332628819,17,1,p980
2,5554.594878848683,4765.903042243839,398.1083739956924,12,0,p51
0,7009.870737642008,7553.726307722629,614.4241328453438,10,0,p433
0,4680.919381668169,6763.751182534926,699.9679673121705,1,0,p786
1,5242.328201815814,1073.9024935898087,721.6642986467723,28,1,p742
4,2376.7266374920764,21633.14757703236,812.9727340485013,27,0,p150
0,2939.641623679061,9375.918836870162,655.9594490754323,24,0,p972
4,3733.074507044093,5116.524419463897,642.6345933437887,6,0,p488
3,3804.737705988122,5150.414062936577,704.6297489752293,3,1,p836
3,4733.29042445435,10566.256791117306,729.5424699890142,21,1,p878
1,3582.2728812774776,5721.48443662482,770.4938876753889,2,0,p619
2,6395.572363204372,8424.762598574136,544.575199914904,17,0,p372
0,2893.0347948979816,16833.486526792523,523.8432826505217,27,0,p198
0,6060.125518229332,8867.950504132838,638.8143529568135,16,0,p658
2,6694.395404284182,12402.773675956152,736.0994533023256,20,1,p772
4,7160.828020162824,8391.090227298084,687.36367539447,13,1,p200
1,5069.361036789383,8494.749986231789,718.6700806715734,7,1,p339
2,4838.541893265809,-1503.7754071345423,707.9506726185853,7,1,p999
2,2829.066523974926,5950.062144044893,866.2016198852664,28,0,p595
4,4714.6773481535965,7333.790789683137,531.2448763643597,2,0,p896
3,5174.046999067306,15027.213442922006,719.3749830070951,7,1,p449
0,7090.639489608871,18705.676762121213,603.3662299474854,12,0,p766
1,5111.661362206206,13191.1631984691,420.99795777829377,8,0,p769
1,4682.228182564316,13156.107189697965,801.2086531548886,14,1,p302
3,3844.2121747480105,20959.71163091711,633.001841127148,13,0,p409
1,4957.0451418918055,6108.789068681639,856.6821681300061,22,1,p460
1,6064.569641263694,9338.394440884173,703.8483230150628,4,1,p590
0,7165.612460667651,6432.537805056934,788.5923987835371,25,1,p589
3,4217.714198065492,5157.500342203007,588.8869171559484,12,0,p311
1,4945.916797800157,12746.509288499376,548.4628312058429,21,0,p859
4,1533.0036315139778,16793.770009251715,668.0055992476006,2,0,p557
1,6598.26371137405,16791.160610413415,817.5033843991619,15,1,p103
1,5671.806591230449,13157.924191144948,643.4820001309417,21,0,p538
1,4542.858333277805,10205.568515817376,778.6746820873329,6,1,p554
1,5111.2458436149145,14483.099067956178,681.6031998466217,11,1,p850
0,4564.714067545199,13364.096019374152,441.4207269568459,24,0,p923
0,4515.830489307928,12250.85085793107,899.2462155514013,25,1,p192
0,4533.801134932369,11649.572915792976,758.4353328281471,9,1,p917
1,7234.018736599652,15964.078876398162,601.6835517617521,16,0,p628
0,4655.036947444277,1338.5595900994122,685.2280721303994,22,1,p899
3,3641.087054784983,11629.385411328218,818.159543664261,25,1,p847
2,6784.248877517445,9478.739369110735,741.686936006921,7,1,p781
3,5534.46608133921,9634.36040875992,724.9400939165632,10,1,p282
0,4796.989892116074,13540.889968526866,706.6459408450198,18,1,p159
4,5035.419386875416,3586.555456367767,834.742022945421,18,1,p845
1,3277.750192213778,2146.252185825516,537.8906810475994,26,0,p710
1,2851.3563900300314,12717.455846994832,881.348386268262,9,0,p471
4,6399.885154687977,6228.926285539945,740.4301154489059,8,1,p297
0,4464.989204602901,5332.799964623666,606.1514955129562,7,0,p191
2,4276.825045234509,9668.67618654411,844.6414161632025,20,1,p403
3,5100.453923503817,20233.22876830565,701.8833464830105,8,0,p810
3,6193.986374182156,10544.674362894955,746.2426298954704,4,1,p517
0,4983.237586583416,9151.103587690472,788.6928275295958,17,1,p375
0,5757.5949619613,12416.046711118028,655.6309285561723,18,1,p961
4,4304.397819422123,8701.75569164202,584.5687592836333,23,0,p197
1,6695.423057271682,11147.58905248978,733.0032851358471,29,1,p178
2,1575.6704107452515,19019.851309967125,760.8917847324616,24,0,p139
0,2442.7587812818238,6184.643734159623,950.63352162733,12,0,p596
3,5224.0497473189525,4701.559720673991,695.4388907803341,23,1,p224
1,6997.109380698763,8010.320193352464,615.6239895964684,14,0,p37
3,4658.736646684016,20938.203855210944,596.5090858634292,13,0,p69
4,1507.9490980936112,8864.878139714414,760.833047354184,5,0,p348
3,6711.005608008803,12442.16415729249,797.4856136001653,15,1,p605
3,8053.715536549756,10033.777006661474,707.809033218361,2,0,p501
3,5373.637168321801,8283.602968874522,690.0950583692818,15,1,p26
1,4883.822583709466,15119.450855442676,643.6974754220945,15,0,p58
2,3999.260717180785,14205.705584297632,721.1032547552114,1,0,p425
0,7724.284146187457,7789.076444170745,676.1667944000732,13,1,p866
3,4170.308067859142,6662.917280902774,827.4465246440309,18,1,p592
0,3214.9150600667863,9110.581525312187,523.0972998144125,2,0,p182
1,6452.906129147086,8897.662311318833,514.6418840629743,6,0,p744
4,4448.738030604491,146.19035203827843,689.1085917658779,29,1,p119
4,4036.626545784013,13902.494742943012,696.5926283743263,1,0,p997
2,4817.741234951536,10228.949597355497,643.1177399685253,29,0,p849
3,6305.292366295753,-697.750145382226,714.3807921134531,28,1,p315
2,5914.737894107995,3481.4085246051677,656.3582843555619,11,1,p156
3,3250.542138908894,17119.356372199592,717.7411768371616,28,1,p574
3,5495.056949791159,16097.081455990445,863.7515089438659,20,1,p714
2,1760.7868591643974,3899.494110523409,758.2964327208721,14,0,p815
1,4965.956771836007,8227.074747843893,818.1885901197498,14,1,p424
4,2981.586729636637,12943.751288929832,485.0146948282221,12,0,p310
0,5332.100960833637,10541.910316103931,835.9138046208345,2,0,p264
1,6639.209562080244,-350.82372333901367,575.0336641394877,3,0,p729
1,3722.5829367967262,9220.29717691735,598.7348156565195,13,0,p759
1,3882.721177507821,14037.100255247802,677.034431582618,20,1,p567
0,6799.650646717253,8705.249927012697,759.0430718429873,15,1,p149
0,8359.319288367666,6314.525011185951,762.2815682125281,29,1,p779
4,5778.241951029533,8575.457302643063,828.3826682592778,13,1,p785
0,7934.112924844669,3779.60440761284,667.11714313252,22,1,p338
0,4390.971528741226,4980.525056975672,747.6410536651996,10,1,p522
1,5964.202902928028,12268.187160868243,870.6077417376864,20,1,p207
3,7846.262491534677,15806.39525003688,703.679475028954,25,1,p383
0,4789.428742035433,18470.31266723772,811.3262912775476,14,1,p811
0,6734.153956570136,7425.784802282074,612.0120181348964,4,0,p430
1,5937.103932711008,9363.622383711232,715.1465659627961,14,1,p255
3,5629.658061584476,4061.694047220141,763.7609608012334,21,1,p696
2,2973.5495924781803,11110.924398270998,653.7896121621293,4,0,p415
2,5863.504386396934,7072.225218451078,743.9814602087916,18,1,p829
3,5268.460769516342,4123.635061894914,658.6733883681665,20,1,p366
3,4720.64608587456,12402.502275158196,690.0022050349883,21,1,p274
2,5047.621594176246,11689.694723889748,590.6375484724365,9,0,p193
4,5303.634977523219,8500.9311316638,551.708570699024,3,0,p827
3,5374.532773990359,5491.579579383731,781.7765524467442,21,1,p629
3,3593.663859268732,5754.779792573787,771.2255985565529,19,1,p136
0,5196.758541846897,9778.617491463565,899.7949901020795,10,1,p233
2,5758.538716344374,11737.482126031642,746.1449879842592,19,1,p465
0,4049.095443858893,12682.55048572859,581.8175461466262,6,0,p227
3,5450.52189772588,5211.711241861796,916.6990546926876,24,1,p527
4,6320.161441745284,9246.43218884243,354.7391793966309,1,0,p444
1,6107.091410390632,12368.269904823996,556.8817807322937,5,0,p56
2,2590.9922271415626,9400.153493847249,629.8392926075887,2,0,p218
4,2726.544928711114,13787.01807163227,711.6524821790019,17,0,p755
2,5296.899277662262,6031.868846294098,640.6407355170248,9,0,p600
0,6344.013752756886,15498.396885514896,611.545157370037,24,0,p833
0,5029.5267228532775,11015.46227078562,809.9598853181283,28,1,p113
0,4124.220263612524,6193.330655161989,617.3825086859467,13,0,p384
2,3783.072973713524,12981.987956091543,592.2808306791072,10,0,p363
4,2380.8846401771225,12020.320003913415,685.923653648434,11,0,p962
2,2930.535809918397,-839.7411278016498,592.1538832899734,4,0,p361
0,4249.114071740764,12610.45440914254,712.1303688176944,23,1,p241
1,5021.9193164294265,17367.88490688806,620.1970444495616,16,0,p893
0,5491.12167576639,16563.92612381476,783.0130822141219,13,1,p621
4,3283.7786439806223,5864.157381893181,829.9049326242847,25,1,p903
1,4395.846120562485,17248.939023085426,1054.7499653634882,14,1,p683
0,4036.0650933738025,6046.619417920203,619.1860578625208,16,0,p627
4,4936.577837347391,8843.148262045619,700.4372932565118,9,1,p924
1,4157.065873829005,3986.475904889016,596.7045521598085,29,0,p196
1,3568.4131421171837,9170.115620163167,740.7022691085966,1,0,p457
4,4428.988604726184,10689.927403032958,737.1175072623766,8,1,p226
2,2602.0621572308705,7189.750502204844,672.5050722357436,8,0,p330
1,4262.958754282199,4395.35197599193,807.9012822367391,19,1,p835
0,6174.454499954563,6609.5672348435655,824.0658263570712,11,1,p59
1,3859.578489160877,11947.79514387099,634.8758955214288,8,0,p676
4,4882.159302108561,8204.002496304327,823.813801992404,10,1,p897
1,4472.60797049431,7743.839810745736,540.4914254677337,16,0,p685
4,2259.6600233622667,8623.489435663221,538.4343961562139,13,0,p170
3,6611.832920784168,1990.2993676693775,699.1519559600565,2,0,p618
0,3255.2686740753006,13142.050147564983,608.2251173619518,24,0,p519
0,4730.565737884667,9326.065441871431,826.4535872807884,7,1,p253
4,5918.048587843816,15626.431652997406,683.0330035087356,20,1,p462
0,3674.373939418564,11853.32821368793,568.3539750582818,20,0,p390
4,4124.483119131069,11726.157529124688,659.6342174106591,1,0,p43
2,6544.279020947316,12070.852365247638,753.8102972970593,27,1,p247
2,6582.132895474658,5621.872928582089,684.0516261339394,23,1,p417
4,5784.59745105999,5741.528714001539,569.9148596498966,13,0,p771
3,6039.087891990171,9618.064864965423,641.7909818111489,9,0,p630
3,4826.42204654194,10365.088468394244,633.8147830770869,22,0,p518
2,4823.771300794528,4428.123075425552,941.3876115616542,1,0,p225
3,6256.671644058373,11794.77281711702,487.3866298968173,26,0,p79
0,4398.84085385157,22971.558019672884,660.7349017522785,23,0,p820
4,3006.594750451054,7326.520703591992,630.9195118846112,4,0,p396
2,4190.853690446859,11862.2069448021,687.2324024516081,16,1,p608
0,5249.101857630892,11081.920906848422,737.5154176388852,18,1,p952
4,6626.546572063211,7963.82361460428,654.6173043536534,28,1,p221
1,10306.786228224752,13309.725942891951,707.916118906703,9,1,p967
1,3832.07815485842,12858.213684728562,957.4179997807342,3,1,p966
1,6152.725398678622,5054.515975057072,591.8163469914384,14,0,p373
4,5423.9551792249695,17076.730664085975,603.8230023878799,8,0,p524
2,5838.332563743293,5573.0524330880535,595.05763148172,24,0,p581
2,7215.911475119319,8556.717150352724,704.047349829576,22,1,p569
0,5397.613850938349,3056.2649131229346,669.3125702644494,10,1,p985
1,5608.906957087201,6992.91691881153,648.9808472812205,6,0,p279
3,6184.0634350729615,8995.158424899593,719.0584563466771,16,1,p653
2,3814.4892632160727,11840.370164056812,571.5443522841128,16,0,p741
2,4801.486983975939,7907.997110415648,542.7486441592675,4,0,p644
1,5270.738896526023,4083.8192115701486,591.9507186040483,22,0,p634
0,5684.39214593748,12348.691631590058,657.6150230961804,9,1,p963
0,4474.005952105512,14276.750602073447,675.9883084032754,7,1,p88
1,2820.709334746929,10216.071391084526,651.9150395447936,9,0,p665
3,5098.741002933293,14845.352103173402,704.6503703916857,13,1,p540
2,7851.4218965276605,12991.431124711688,805.1275728034782,28,1,p969
4,7038.137919771934,15457.643096383885,578.4571243913092,8,0,p541
4,5678.760661102714,2225.317266310668,734.3889978491563,11,1,p187
0,6526.441810265981,12311.627017321678,608.650435166505,14,0,p671
4,4144.789050716574,15597.302544635932,779.8168846300846,9,1,p819
2,5495.052217533596,19323.05861652476,679.5287573548271,1,0,p439
1,5093.948426107877,4730.40797270437,530.6231948218094,16,0,p345
2,6736.214147906793,14698.119712999624,561.4812336706923,4,0,p120
1,4840.895052801463,15554.84145575286,666.6793175711438,26,1,p349
1,6045.8009601571775,6029.344842965298,837.2690798776337,2,0,p588
4,7520.511353126515,4890.147855883847,528.5283967912238,15,0,p1000
4,3175.319324051573,12552.878539960657,598.8398118044887,3,0,p556
2,1884.7327043285195,21682.72583306337,684.2749551619756,8,0,p419
4,7728.928440162936,12577.92226800838,825.5462804508818,13,1,p647
1,7720.507712197754,18920.78048372889,889.3811854314514,5,1,p446
